Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/13/2019 9:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/13/2019 10:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/13/2019 11:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/13/2019 12:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/13/2019 1:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/13/2019 2:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/13/2019 3:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/13/2019 4:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/13/2019 5:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/13/2019 6:00:00 PM,Banning,17,1-hr,µg/m3,N/A,N/A,
7/13/2019 7:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/13/2019 8:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/13/2019 9:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/13/2019 10:00:00 PM,Banning,19,1-hr,µg/m3,N/A,N/A,
7/13/2019 11:00:00 PM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/14/2019 12:00:00 AM,Banning,20,1-hr,µg/m3,N/A,N/A,
7/14/2019 1:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/14/2019 2:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/14/2019 3:00:00 AM,Banning,17,1-hr,µg/m3,N/A,N/A,
7/14/2019 4:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/14/2019 5:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/14/2019 6:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/14/2019 7:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/14/2019 8:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/14/2019 9:00:00 AM,Banning,2,1-hr,µg/m3,N/A,N/A,
7/14/2019 10:00:00 AM,Banning,0,1-hr,µg/m3,N/A,N/A,
7/14/2019 11:00:00 AM,Banning,-4,1-hr,µg/m3,N/A,N/A,
7/14/2019 12:00:00 PM,Banning,0,1-hr,µg/m3,N/A,N/A,
7/14/2019 1:00:00 PM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/14/2019 2:00:00 PM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/14/2019 3:00:00 PM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/14/2019 4:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/14/2019 5:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/14/2019 6:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/14/2019 7:00:00 PM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/14/2019 8:00:00 PM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/14/2019 9:00:00 PM,Banning,21,1-hr,µg/m3,N/A,N/A,
7/14/2019 10:00:00 PM,Banning,29,1-hr,µg/m3,N/A,N/A,
7/14/2019 11:00:00 PM,Banning,24,1-hr,µg/m3,N/A,N/A,
7/15/2019 12:00:00 AM,Banning,18,1-hr,µg/m3,N/A,N/A,
7/15/2019 1:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/15/2019 2:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/15/2019 3:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/15/2019 4:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/15/2019 5:00:00 AM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/15/2019 6:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/15/2019 7:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/15/2019 8:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/15/2019 9:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/15/2019 10:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/15/2019 11:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/15/2019 12:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/15/2019 1:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/15/2019 2:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/15/2019 3:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/15/2019 4:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/15/2019 5:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/15/2019 6:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/15/2019 7:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/15/2019 8:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/15/2019 9:00:00 PM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/15/2019 10:00:00 PM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/15/2019 11:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/16/2019 12:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/16/2019 1:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/16/2019 2:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/16/2019 3:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/16/2019 4:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/16/2019 5:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/16/2019 6:00:00 AM,Banning,0,1-hr,µg/m3,N/A,N/A,
7/16/2019 7:00:00 AM,Banning,1,1-hr,µg/m3,N/A,N/A,
7/16/2019 8:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/16/2019 9:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/16/2019 10:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/16/2019 11:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/16/2019 12:00:00 PM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/16/2019 1:00:00 PM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/16/2019 2:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/16/2019 3:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/16/2019 4:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/16/2019 5:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/16/2019 6:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/16/2019 7:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/16/2019 8:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/16/2019 9:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/16/2019 10:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/16/2019 11:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/17/2019 12:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/17/2019 1:00:00 AM,Banning,17,1-hr,µg/m3,N/A,N/A,
7/17/2019 2:00:00 AM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/17/2019 3:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/17/2019 4:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/17/2019 5:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/17/2019 6:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/17/2019 7:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/17/2019 8:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/17/2019 9:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/17/2019 1:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/17/2019 2:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/17/2019 3:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/17/2019 4:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/17/2019 5:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
7/17/2019 6:00:00 PM,Banning,2,1-hr,µg/m3,N/A,N/A,
7/17/2019 7:00:00 PM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/17/2019 8:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/17/2019 9:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/17/2019 10:00:00 PM,Banning,18,1-hr,µg/m3,N/A,N/A,
7/17/2019 11:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/18/2019 12:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/18/2019 1:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/18/2019 2:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/18/2019 3:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/18/2019 4:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/18/2019 5:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/18/2019 6:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/18/2019 7:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/18/2019 8:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/18/2019 9:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/18/2019 10:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/18/2019 11:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/18/2019 12:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
7/18/2019 1:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/18/2019 2:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/18/2019 3:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/18/2019 4:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/18/2019 5:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/18/2019 6:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/18/2019 7:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/18/2019 8:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/18/2019 9:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
7/18/2019 10:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/18/2019 11:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
7/19/2019 12:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/19/2019 1:00:00 AM,Banning,1,1-hr,µg/m3,N/A,N/A,
7/19/2019 2:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/19/2019 3:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/19/2019 4:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/19/2019 5:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/19/2019 6:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/19/2019 7:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/19/2019 8:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/19/2019 9:00:00 AM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/19/2019 10:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/19/2019 11:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/19/2019 12:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/19/2019 1:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/19/2019 2:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/19/2019 3:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/19/2019 4:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/19/2019 5:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/19/2019 6:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/19/2019 7:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/19/2019 8:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/19/2019 9:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/19/2019 10:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/19/2019 11:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/20/2019 12:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/20/2019 1:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/20/2019 2:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/20/2019 3:00:00 AM,Banning,3,1-hr,µg/m3,N/A,N/A,
7/20/2019 4:00:00 AM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/20/2019 5:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/20/2019 6:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/20/2019 7:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/20/2019 8:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/20/2019 9:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/20/2019 10:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/20/2019 11:00:00 AM,Banning,2,1-hr,µg/m3,N/A,N/A,
7/20/2019 12:00:00 PM,Banning,2,1-hr,µg/m3,N/A,N/A,
7/20/2019 1:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/20/2019 2:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/20/2019 3:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/20/2019 4:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/20/2019 5:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/20/2019 6:00:00 PM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/20/2019 7:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/20/2019 8:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/20/2019 9:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/20/2019 10:00:00 PM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/20/2019 11:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/21/2019 12:00:00 AM,Banning,18,1-hr,µg/m3,N/A,N/A,
7/21/2019 1:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/21/2019 2:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/21/2019 3:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/21/2019 4:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/21/2019 5:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/21/2019 6:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/21/2019 7:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/21/2019 8:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/21/2019 9:00:00 AM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/21/2019 10:00:00 AM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/21/2019 11:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/21/2019 12:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/21/2019 1:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
7/21/2019 2:00:00 PM,Banning,2,1-hr,µg/m3,N/A,N/A,
7/21/2019 3:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/21/2019 4:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/21/2019 5:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/21/2019 6:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/21/2019 7:00:00 PM,Banning,22,1-hr,µg/m3,N/A,N/A,
7/21/2019 8:00:00 PM,Banning,18,1-hr,µg/m3,N/A,N/A,
7/21/2019 9:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/21/2019 10:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/21/2019 11:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/22/2019 12:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/22/2019 1:00:00 AM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/22/2019 2:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/22/2019 3:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/22/2019 4:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/22/2019 5:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/22/2019 6:00:00 AM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/22/2019 7:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/22/2019 8:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/22/2019 9:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/22/2019 10:00:00 AM,Banning,18,1-hr,µg/m3,N/A,N/A,
7/22/2019 11:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/22/2019 12:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/22/2019 1:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/22/2019 2:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/22/2019 3:00:00 PM,Banning,3,1-hr,µg/m3,N/A,N/A,
7/22/2019 4:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/22/2019 5:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/22/2019 6:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/22/2019 7:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/22/2019 8:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/22/2019 9:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/22/2019 10:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/22/2019 11:00:00 PM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/23/2019 12:00:00 AM,Banning,20,1-hr,µg/m3,N/A,N/A,
7/23/2019 1:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/23/2019 2:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/23/2019 3:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/23/2019 4:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/23/2019 5:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/23/2019 6:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/23/2019 7:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/23/2019 8:00:00 AM,Banning,20,1-hr,µg/m3,N/A,N/A,
7/23/2019 9:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/23/2019 10:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/23/2019 11:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/23/2019 12:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/23/2019 1:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/23/2019 2:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/23/2019 3:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/23/2019 4:00:00 PM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/23/2019 5:00:00 PM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/23/2019 6:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/23/2019 7:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/23/2019 8:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/23/2019 9:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/23/2019 10:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/23/2019 11:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/24/2019 12:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/24/2019 1:00:00 AM,Banning,19,1-hr,µg/m3,N/A,N/A,
7/24/2019 2:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/24/2019 3:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/24/2019 4:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/24/2019 5:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/24/2019 6:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/24/2019 7:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/24/2019 8:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/24/2019 9:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/24/2019 10:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/24/2019 11:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/24/2019 12:00:00 PM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/24/2019 1:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/24/2019 2:00:00 PM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/24/2019 3:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/24/2019 4:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/24/2019 5:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/24/2019 6:00:00 PM,Banning,19,1-hr,µg/m3,N/A,N/A,
7/24/2019 7:00:00 PM,Banning,25,1-hr,µg/m3,N/A,N/A,
7/24/2019 8:00:00 PM,Banning,24,1-hr,µg/m3,N/A,N/A,
7/24/2019 9:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/24/2019 10:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/24/2019 11:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/25/2019 12:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/25/2019 1:00:00 AM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/25/2019 2:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/25/2019 3:00:00 AM,Banning,4,1-hr,µg/m3,N/A,N/A,
7/25/2019 4:00:00 AM,Banning,7,1-hr,µg/m3,N/A,N/A,
7/25/2019 5:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/25/2019 6:00:00 AM,Banning,5,1-hr,µg/m3,N/A,N/A,
7/25/2019 7:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/25/2019 8:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/25/2019 9:00:00 AM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/25/2019 10:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/25/2019 11:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/25/2019 12:00:00 PM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/25/2019 1:00:00 PM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/25/2019 2:00:00 PM,Banning,8,1-hr,µg/m3,N/A,N/A,
7/25/2019 3:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/25/2019 4:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/25/2019 5:00:00 PM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/25/2019 6:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/25/2019 7:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/25/2019 8:00:00 PM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/25/2019 9:00:00 PM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/25/2019 10:00:00 PM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/25/2019 11:00:00 PM,Banning,6,1-hr,µg/m3,N/A,N/A,
7/26/2019 12:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/26/2019 1:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/26/2019 2:00:00 AM,Banning,20,1-hr,µg/m3,N/A,N/A,
7/26/2019 3:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/26/2019 4:00:00 AM,Banning,17,1-hr,µg/m3,N/A,N/A,
7/26/2019 5:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/26/2019 6:00:00 AM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/26/2019 7:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/26/2019 8:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/26/2019 9:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/26/2019 10:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/26/2019 11:00:00 AM,Banning,9,1-hr,µg/m3,N/A,N/A,
7/26/2019 12:00:00 PM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/26/2019 1:00:00 PM,Banning,13,1-hr,µg/m3,N/A,N/A,
7/26/2019 2:00:00 PM,Banning,18,1-hr,µg/m3,N/A,N/A,
7/26/2019 3:00:00 PM,Banning,17,1-hr,µg/m3,N/A,N/A,
7/26/2019 4:00:00 PM,Banning,17,1-hr,µg/m3,N/A,N/A,
7/26/2019 5:00:00 PM,Banning,21,1-hr,µg/m3,N/A,N/A,
7/26/2019 6:00:00 PM,Banning,21,1-hr,µg/m3,N/A,N/A,
7/26/2019 7:00:00 PM,Banning,26,1-hr,µg/m3,N/A,N/A,
7/26/2019 8:00:00 PM,Banning,19,1-hr,µg/m3,N/A,N/A,
7/26/2019 9:00:00 PM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/26/2019 10:00:00 PM,Banning,24,1-hr,µg/m3,N/A,N/A,
7/26/2019 11:00:00 PM,Banning,19,1-hr,µg/m3,N/A,N/A,
7/27/2019 12:00:00 AM,Banning,21,1-hr,µg/m3,N/A,N/A,
7/27/2019 1:00:00 AM,Banning,15,1-hr,µg/m3,N/A,N/A,
7/27/2019 2:00:00 AM,Banning,16,1-hr,µg/m3,N/A,N/A,
7/27/2019 3:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
7/27/2019 4:00:00 AM,Banning,11,1-hr,µg/m3,N/A,N/A,
7/27/2019 5:00:00 AM,Banning,10,1-hr,µg/m3,N/A,N/A,
7/27/2019 6:00:00 AM,Banning,12,1-hr,µg/m3,N/A,N/A,
7/27/2019 7:00:00 AM,Banning,14,1-hr,µg/m3,N/A,N/A,
